"Official Raspberry Pi Pico 2 W","Brain of my project",1,8.07,"Official Raspberry Pi Pico 2 W – Robocraze",,,,,,,,,,,,,,,,,,,,,
"PCM5102 I2S Lossless Digital Audio DAC","To give a better sound quality",1,46.64,"AITRIP 2 pcs PCM5102 I2S IIS Lossless Digital Audio DAC Decoder Module Stereo DAC Digital-to-Analog Converter Voice Module Compatible with Arduino Raspberry Pi (2PCS pcm5102a) : Amazon.in: Industrial & Scientific",,,,,,,,,,,,,,,,,,,,,
"Bluetooth Audio Module KCX_BT_EMITTER","For bluetooth connectivity",1,23.93,"Rakstore Bluetooth Audio Module BLE 4.1 Stereo GFSK Transceiver Transmitter Wireless Speaker Headphones KCX_BT_EMITTER - Buy Rakstore Bluetooth Audio Module BLE 4.1 Stereo GFSK Transceiver Transmitter Wireless Speaker Headphones KCX_BT_EMITTER Online at Low Price in India - Amazon.in",,,,,,,,,,,,,,,,,,,,,
"KP Original 835156 3.7V 5000mAh Battery","Powerhouse for my project",1,6.38,"KP Original 835156 3.7v 5000mAh Rechargeable Li-Po Battery with BMS Suitable for DVD, Tablet, MP3 Player, 5000 mah (Pack of 1) : Amazon.in: Fashion",,,,,,,,,,,,,,,,,,,,,
"REES52 0.91"" I2C OLED Display (SSD1306)","To display music name, time, etc.",1,1.85,"REES52 0.91"" IIC I2C Serial OLED LCD Display SSD1306 128x32 3.3V/5V AVR PIC STM32 for Compatible with Arduino : Amazon.in: Industrial & Scientific",,,,,,,,,,,,,,,,,,,,,
"MT3608 DC-DC Boost Module (2V-24V)","Ensure steady 5V for system and USB",1,0.41,"Buy MT3608 Setup Power Moudle Online in India | Robocraze",,,,,,,,,,,,,,,,,,,,,
"TP4056 USB-C Charging Module","To charge the battery safely",1,0.75,"UNIVERSAL HUB TP4056 USB-C Charging Module for 18650 Lithium Battery | 3.7V DIY Charger Board with Overcharge Protection 2Pcs : Amazon.in: Computers & Accessories",,,,,,,,,,,,,,,,,,,,,
" Tactile Push Button Switch","Physical music controls (10 Pieces)",1,0.59,"12x12x7.3mm Tactile Mini Push Button Switch - Robocraze",,,,,,,,,,,,,,,,,,,,,
"Slide Switch 3 Pin 2 Way SPDT","Main Power Switch",1,own,,,,,,,,,,,,,,,,,,,,,,
"40x1 Pin 2.54mm Pitch Male Berg Strip","To connect components",1,0.11,"40x2 Pin 2.54mm Pitch Male Berg Strip – Robocraze",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
